Name,Address,Phone,Website,Email,Review_Score,Review_Count,Lead_Score,Category,Notes
"Hill Law Office, P.L.L.C.","9424 Baymeadows Rd Unit 250, Jacksonville, FL 32256","(904) 299-7997","justiceforyouandyours.com","",2.5,8,Hot,Personal Injury,Very poor rating (2.5 stars) - reputation management needed
"Cole, Scott & Kissane, P.A.","4686 Sunbeam Rd, Jacksonville, FL 32257","(904) 672-4000","csklegal.com","tiffany.batten@csklegal.com",3.2,11,Hot,Personal Injury,Below average rating (3.2) - needs improvement - Partner Tiffany Batten 99% confidence
"Rodney Gregory Law Office","3840 Crown Point Rd B, Jacksonville, FL 32257","(904) 722-2222","gregorylawfirm.net","",3.5,8,Warm,Personal Injury,Below average rating but low review count
"Michael Naughton, P.A.","12058 San Jose Blvd, Jacksonville, FL 32223","(904) 886-7494","","",3.9,14,Warm,Personal Injury,No website - major opportunity
"Douglas Law Firm","6100 Greenland Rd # 603, Jacksonville, FL 32258","(800) 705-5457","dhclawyers.com","",4.1,13,Warm,Personal Injury,Low review count for established firm
"Crawford Law, PLLC","11250 Old St Augustine Rd #15-250, Jacksonville, FL 32257","(904) 422-4634","crawford-law.com","",4.9,42,Warm,Personal Injury,High rating but moderate review count
"Robinson and Casey PLLC","9393 Mill Springs Dr #2, Jacksonville, FL 32257","(904) 664-0162","robinsoncasey.com","",5.0,16,Warm,Personal Injury,Perfect rating but low review count
"Kayla's Survivors - Sexual Abuse Attorneys","","(904) 906-8070","kaylasurvivors.com","",5.0,2,Hot,Personal Injury,No address listed - incomplete profile
"Acorn Legal","7855 Argyle Forest Blvd STE 910, Jacksonville, FL 32244","(844) 239-9270","acornlegal.net","",5.0,1,Warm,Personal Injury,Only 1 review
"The Fina Law Firm","9526 Argyle Forest Blvd, Jacksonville, FL 32222","","thefinalawfirm.com","",5.0,1,Warm,Personal Injury,No phone listed - incomplete profile
"Somoza Law P.A.","12724 Gran Bay Pkwy Suite 410, Jacksonville, FL 32258","(904) 605-1515","somozalaw.com","",0,0,Hot,Personal Injury,No reviews at all - brand new or not marketed
"the harrell firm","2796 Kelsey Pl, Jacksonville, FL 32257","(904) 379-1187","theharrellfirm.com","",0,0,Hot,Personal Injury,No reviews - needs marketing help
"Strickland & Hooten Pa","2955 Hartley Rd # 107, Jacksonville, FL 32257","(904) 292-0850","","",0,0,Hot,Personal Injury,No website and no reviews - major opportunity
"Michael Anthony Kolcun, Attorney at Law","","(904) 260-0002","michaelakolcun.wixsite.com/attorney","",0,0,Hot,Personal Injury,No address and no reviews - Wix site suggests DIY
"Pajcic & Pajcic","1 E Independent Dr #1900, Jacksonville, FL 32202","(904) 358-8881","pajcic.com","",4.9,713,Low,Personal Injury,Very well established - 713 reviews
"Morgan & Morgan","501 Riverside Ave #1200, Jacksonville, FL 32202","(904) 398-2722","forthepeople.com","",4.6,5807,Low,Personal Injury,Major national firm - 5807 reviews
"Henry Gare Personal Injury Attorney","1719 Emerson St, Jacksonville, FL 32207","(904) 387-6101","henrygare.com","",5.0,361,Low,Personal Injury,Well established - 361 reviews
"Hatfield & Hatfield, P.A.","210 E Forsyth St, Jacksonville, FL 32202","(904) 446-9990","hatfieldesq.com","",4.9,182,Low,Personal Injury,Well established - 182 reviews
"Injury Care Centers","9191 R G Skinner Pkwy UNIT 201, Jacksonville, FL 32256","(904) 783-0008","injurycarecenters.net","",4.9,256,Low,Medical,Medical clinic not law firm - different service
"Jeremiah Carlson Chiropractor","9010 R G Skinner Pkwy, Jacksonville, FL 32256","(904) 619-2703","jacksonvillechiropractic.org","",4.8,99,Low,Medical,Chiropractor not lawyer - exclude from outreach"
